snapshot_utc,league_id,roster_id,owner_id,owner_display_name,team_name,is_my_roster,players_count,starters_count,reserve,taxi,co_owners,settings,metadata
2026-09-15T23:59:18+00:00,1359546418284494848,1,779583277362245632,Blatzzy,Third Reich & Long,True,17,11,[],[],[],"{""fpts"": 112, ""fpts_against"": 146, ""fpts_against_decimal"": 82, ""fpts_decimal"": 12, ""losses"": 1, ""ppts"": 125, ""ppts_decimal"": 42, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 12, ""wins"": 0}","{""record"": ""L"", ""streak"": ""1L""}"
2026-09-15T23:59:18+00:00,1359546418284494848,2,609154836893601792,Stutterboyzzzz,,False,17,11,[],[],[],"{""fpts"": 142, ""fpts_against"": 166, ""fpts_against_decimal"": 26, ""fpts_decimal"": 86, ""losses"": 1, ""ppts"": 157, ""ppts_decimal"": 86, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 11, ""wins"": 0}","{""record"": ""L"", ""streak"": ""1L""}"
2026-09-15T23:59:18+00:00,1359546418284494848,3,779583497248550912,manson1,Njigbas in paris,False,18,11,"[""9502""]",[],[],"{""fpts"": 179, ""fpts_against"": 210, ""fpts_against_decimal"": 6, ""fpts_decimal"": 10, ""losses"": 1, ""ppts"": 179, ""ppts_decimal"": 90, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 10, ""wins"": 0}","{""record"": ""L"", ""streak"": ""1L""}"
2026-09-15T23:59:18+00:00,1359546418284494848,4,861663770647339008,jblatz,,False,17,11,[],[],[],"{""fpts"": 210, ""fpts_against"": 179, ""fpts_against_decimal"": 10, ""fpts_decimal"": 6, ""losses"": 0, ""ppts"": 219, ""ppts_decimal"": 36, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 8, ""wins"": 1}","{""record"": ""W"", ""streak"": ""1W""}"
2026-09-15T23:59:18+00:00,1359546418284494848,5,770802446909222912,zthompson1533,,False,18,11,"[""13281"", ""5859""]",[],[],"{""fpts"": 193, ""fpts_against"": 167, ""fpts_against_decimal"": 10, ""fpts_decimal"": 76, ""losses"": 0, ""ppts"": 205, ""ppts_decimal"": 86, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 1, ""wins"": 1}","{""record"": ""W"", ""streak"": ""1W""}"
2026-09-15T23:59:18+00:00,1359546418284494848,6,1266474061580480512,tylercatlett1,Daejon love #1 fan,False,17,11,[],[],[],"{""fpts"": 146, ""fpts_against"": 112, ""fpts_against_decimal"": 12, ""fpts_decimal"": 82, ""losses"": 0, ""ppts"": 178, ""ppts_decimal"": 72, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 4, ""wins"": 1}","{""record"": ""W"", ""streak"": ""1W""}"
2026-09-15T23:59:18+00:00,1359546418284494848,7,854202549119594496,GOOBERTON,,False,17,11,[],[],[],"{""fpts"": 166, ""fpts_against"": 142, ""fpts_against_decimal"": 86, ""fpts_decimal"": 26, ""losses"": 0, ""ppts"": 179, ""ppts_decimal"": 26, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 7, ""wins"": 1}","{""record"": ""W"", ""streak"": ""1W""}"
2026-09-15T23:59:18+00:00,1359546418284494848,8,1262823409977393152,2kyle,,False,17,11,[],[],[],"{""fpts"": 195, ""fpts_against"": 173, ""fpts_against_decimal"": 36, ""fpts_decimal"": 70, ""losses"": 0, ""ppts"": 222, ""ppts_decimal"": 0, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 9, ""wins"": 1}","{""record"": ""W"", ""streak"": ""1W""}"
2026-09-15T23:59:18+00:00,1359546418284494848,9,872239354578415616,liamblatz,,False,17,11,[],[],[],"{""fpts"": 167, ""fpts_against"": 193, ""fpts_against_decimal"": 76, ""fpts_decimal"": 10, ""losses"": 1, ""ppts"": 202, ""ppts_decimal"": 90, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 2, ""wins"": 0}","{""record"": ""L"", ""streak"": ""1L""}"
2026-09-15T23:59:18+00:00,1359546418284494848,10,1129803532904914944,alenhart85,Brock Bottom,False,17,11,[],[],[],"{""fpts"": 190, ""fpts_against"": 208, ""fpts_against_decimal"": 6, ""fpts_decimal"": 34, ""losses"": 1, ""ppts"": 190, ""ppts_decimal"": 34, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 6, ""wins"": 0}","{""record"": ""L"", ""streak"": ""1L""}"
