snapshot_utc,source_dt,sleeper_id,gsis_id,player,position,nfl_team,kr_rank,pr_rank,return_roles,offensive_depth_position,offensive_depth_rank,dual_role_offense_return,baseline_games,baseline_kr_yards,baseline_pr_yards,projected_kr_yards_per_game,projected_pr_yards_per_game,projected_return_td_per_game,projection_source,confidence,redraft_ecr,my_leagues,my_starting_leagues,free_agent_leagues,offensive_role_source,injury_status,practice_participation
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,3634,00-0032464,Kalif Raymond,WR,CHI,2,1,KR+PR,,,False,15,161.0,241.0,3.8,16.1,0.0,2025 weekly player stats,HIGH,322.8,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11168,00-0038359,Xavier Smith,WR,LAR,3,1,KR+PR,,,False,16,301.0,251.0,2.8,15.7,0.0,2025 weekly player stats,HIGH,361.0,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,12503,00-0040782,Isaiah Bond,WR,CLE,,1,PR,,,False,15,0.0,9.0,0.0,0.6,0.0,2025 weekly player stats,HIGH,290.48,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,12829,00-0040352,Coleman Owen,WR,IND,2,2,KR+PR,,,False,2,141.0,2.0,24.7,0.3,0.0,2025 weekly player stats,MEDIUM,,,,,none detected,IR,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,12482,00-0040009,Savion Williams,WR,GB,2,,KR,,,False,12,717.0,0.0,20.9,0.0,0.0,2025 weekly player stats,MEDIUM,337.52,,,,none detected,IR,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11574,00-0039407,Dylan Laube,RB,LV,2,,KR,,,False,17,855.0,0.0,17.6,0.0,0.0,2025 weekly player stats,MEDIUM,338.6,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,12542,00-0040563,Efton Chism III,WR,NE,2,,KR,,,False,8,383.0,0.0,16.8,0.0,0.0,2025 weekly player stats,MEDIUM,,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,10223,00-0038396,Eric Gray,RB,NYG,2,,KR,,,False,1,41.0,0.0,14.3,0.0,0.0,2025 weekly player stats,MEDIUM,,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,12497,00-0040648,Tory Horton,WR,SEA,,2,PR,,,False,8,0.0,238.0,0.0,10.4,0.0,2025 weekly player stats,MEDIUM,261.68,12-Team Dynasty — One League to Rule Them All | 18-Team Chopped — Surviving the Chamber,,,none detected,Questionable,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,5328,00-0034278,Tremon Smith,DB,HOU,2,,KR,,,False,15,435.0,0.0,10.1,0.0,0.0,2025 weekly player stats,MEDIUM,,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,8208,00-0037085,Tyler Badie,RB,DEN,2,,KR,,,False,16,452.0,0.0,9.9,0.0,0.0,2025 weekly player stats,MEDIUM,296.0,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11895,00-0039623,Mason Tipton,WR,NO,3,2,KR+PR,,,False,8,378.0,0.0,7.1,0.0,0.0,2025 weekly player stats,MEDIUM,,,,,none detected,PUP,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,12670,00-0040184,KeAndre Lambert-Smith,WR,LAC,4,3,KR+PR,,,False,10,418.0,0.0,6.3,0.0,0.0,2025 weekly player stats,MEDIUM,368.0,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,12048,00-0039299,George Holani,RB,SEA,3,,KR,,,False,10,387.0,0.0,5.8,0.0,0.0,2025 weekly player stats,MEDIUM,243.54,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,8714,00-0037129,Josh Blackwell,DB,CHI,3,3,KR+PR,,,False,13,455.0,0.0,5.2,0.0,0.0,2025 weekly player stats,MEDIUM,,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11651,00-0039363,Isaac Guerendo,RB,SF,2,,KR,,,False,7,100.0,0.0,5.0,0.0,0.0,2025 weekly player stats,MEDIUM,303.33,,,,none detected,PUP,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,8230,00-0037276,Ty Chandler,RB,NO,5,,KR,,,False,3,84.0,0.0,4.2,0.0,0.0,2025 weekly player stats,MEDIUM,338.33,,,,none detected,IR,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,8755,00-0037380,Kaden Davis,WR,CHI,5,,KR,,,False,1,28.0,0.0,4.2,0.0,0.0,2025 weekly player stats,MEDIUM,,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,7559,00-0036635,Ihmir Smith-Marsette,WR,ARI,2,2,KR+PR,,,False,0,0.0,0.0,2.8,0.7,0.0,role-based fallback,LOW,,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,6130,00-0035250,Devin Singletary,RB,NYG,4,,KR,,,False,17,313.0,0.0,2.8,0.0,0.0,2025 weekly player stats,MEDIUM,297.23,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,12523,00-0040218,Jimmy Horn Jr.,WR,CAR,2,4,KR+PR,,,False,10,0.0,0.0,2.8,0.0,0.0,role-based fallback,LOW,365.25,,,,none detected,,
