snapshot_utc,league_id,roster_id,owner_id,is_my_roster,player_id,full_name,position,fantasy_positions,nfl_team,status,injury_status,injury_body_part,practice_participation,practice_description,depth_chart_position,depth_chart_order,active,starter,reserve,taxi
2026-08-31T17:33:25+00:00,1389740418316374016,10,594991759398850560,False,1466,Travis Kelce,TE,"[""TE""]",KC,Active,,,,,TE,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,10,594991759398850560,False,421,Matthew Stafford,QB,"[""QB""]",LAR,Active,,,,,QB,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,10,594991759398850560,False,4217,George Kittle,TE,"[""TE""]",SF,Active,Questionable,Achilles,,,TE,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,10,594991759398850560,False,4983,DJ Moore,WR,"[""WR""]",BUF,Active,,,,,LWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,10,594991759398850560,False,6770,Joe Burrow,QB,"[""QB""]",CIN,Active,,,,,QB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,10,594991759398850560,False,6801,Tee Higgins,WR,"[""WR""]",CIN,Active,,,,,RWR,2,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,10,594991759398850560,False,8134,Khalil Shakir,WR,"[""WR""]",BUF,Active,Questionable,Undisclosed,,,SWR,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,10,594991759398850560,False,8137,George Pickens,WR,"[""WR""]",DAL,Active,,,,,RWR,2,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,10,594991759398850560,False,8228,Jaylen Warren,RB,"[""RB""]",PIT,Active,,,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,10,594991759398850560,False,8259,Cameron Dicker,K,"[""K""]",LAC,Active,Questionable,Undisclosed,,,K,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,10,594991759398850560,False,9221,Jahmyr Gibbs,RB,"[""RB""]",DET,Active,,,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,10,594991759398850560,False,9224,Chase Brown,RB,"[""RB""]",CIN,Active,,,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,10,594991759398850560,False,NE,New England Patriots,DEF,"[""DEF""]",NE,,,,,,,,True,True,False,False
2026-08-31T17:33:25+00:00,1370453762442797056,1,779583277362245632,True,11237,Jacob Saylors,RB,"[""RB""]",DET,Active,,,,,RB,3,True,True,False,False
2026-08-31T17:33:25+00:00,1370453762442797056,1,779583277362245632,True,11628,Marvin Harrison,WR,"[""WR""]",ARI,Active,,,,,LWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1370453762442797056,1,779583277362245632,True,11632,Malik Nabers,WR,"[""WR""]",NYG,Active,Questionable,Knee - ACL,,,LWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1370453762442797056,1,779583277362245632,True,12497,Tory Horton,WR,"[""WR""]",SEA,Active,Questionable,Undisclosed,,,RWR,4,True,False,False,False
2026-08-31T17:33:25+00:00,1370453762442797056,1,779583277362245632,True,13075,Myles Price,WR,"[""WR""]",MIN,Active,,,,,SWR,5,True,True,False,False
2026-08-31T17:33:25+00:00,1370453762442797056,1,779583277362245632,True,13533,Barion Brown,WR,"[""WR""]",NO,Active,,,,,SWR,5,True,False,False,False
2026-08-31T17:33:25+00:00,1370453762442797056,1,779583277362245632,True,4199,Aaron Jones,RB,"[""RB""]",MIN,Active,,,,,RB,2,True,True,False,False
2026-08-31T17:33:25+00:00,1370453762442797056,1,779583277362245632,True,6768,Tua Tagovailoa,QB,"[""QB""]",ATL,Active,,,,,QB,1,True,False,False,False
