league_id,roster_id,is_my_roster,player_id,player,position,nfl_team,keeper_round,keeper_cost_source,redraft_ecr,market_round,round_surplus,keeper_value_score,idp_projection_proxy
1359546418284494848,12,False,11628,Marvin Harrison,WR,ARI,7,draft round,69.24,6,1,25.5,
1359546418284494848,1,True,7564,Ja'Marr Chase,WR,CIN,1,draft round,1.49,1,0,24.9,
1359546418284494848,3,False,9221,Jahmyr Gibbs,RB,DET,1,draft round,2.43,1,0,24.8,
1359546418284494848,4,False,9493,Puka Nacua,WR,LAR,1,draft round,3.43,1,0,24.7,
1359546418284494848,8,False,9509,Bijan Robinson,RB,ATL,1,draft round,4.19,1,0,24.7,
1359546418284494848,12,False,7547,Amon-Ra St. Brown,WR,DET,1,draft round,5.4,1,0,24.6,
1359546418284494848,2,False,11631,Brian Thomas,WR,JAX,8,draft round,81.16,7,1,24.5,
1359546418284494848,7,False,6786,CeeDee Lamb,WR,DAL,1,draft round,9.03,1,0,24.3,
1359546418284494848,10,False,6794,Justin Jefferson,WR,MIN,1,draft round,9.17,1,0,24.3,
1359546418284494848,9,False,4034,Christian McCaffrey,RB,SF,1,draft round,9.58,1,0,24.2,
1359546418284494848,12,False,5967,Tony Pollard,RB,TEN,9,draft round,84.99,8,1,24.2,
1359546418284494848,1,True,11665,Jared Verse,DL,CLE,10,draft round,93.67,8,2,24.0,7.99
1359546418284494848,1,True,9500,Josh Downs,WR,IND,9,draft round,88.0,8,1,24.0,
1359546418284494848,1,True,8112,Drake London,WR,ATL,2,draft round,13.17,2,0,23.9,
1359546418284494848,5,False,5859,A.J. Brown,WR,NE,2,draft round,13.73,2,0,23.9,
1359546418284494848,12,False,7569,Nico Collins,WR,HOU,2,draft round,16.0,2,0,23.7,
1359546418284494848,6,False,6783,Jerry Jeudy,WR,CLE,17,draft round,170.19,15,2,23.4,
1359546418284494848,10,False,11604,Brock Bowers,TE,LV,2,draft round,21.2,2,0,23.3,
1359546418284494848,6,False,7525,DeVonta Smith,WR,PHI,2,draft round,22.72,2,0,23.2,
1359546418284494848,3,False,11655,Tyrone Tracy,RB,NYG,17,draft round,173.85,15,2,23.1,
1359546418284494848,5,False,12507,Omarion Hampton,RB,LAC,3,draft round,25.4,3,0,23.0,
1359546418284494848,4,False,4984,Josh Allen,QB,BUF,3,draft round,25.77,3,0,22.9,
1359546418284494848,7,False,6806,J.K. Dobbins,RB,DEN,10,draft round,102.38,9,1,22.8,
1359546418284494848,3,False,8146,Garrett Wilson,WR,NYJ,3,draft round,30.28,3,0,22.6,
1359546418284494848,12,False,4881,Lamar Jackson,QB,BAL,3,draft round,31.84,3,0,22.5,
1359546418284494848,9,False,7526,Jaylen Waddle,WR,DEN,3,draft round,33.99,3,0,22.3,
1359546418284494848,11,False,11635,Ladd McConkey,WR,LAC,3,draft round,33.83,3,0,22.3,
1359546418284494848,6,False,12517,Colston Loveland,TE,CHI,4,draft round,36.28,4,0,22.1,
1359546418284494848,9,False,6801,Tee Higgins,WR,CIN,4,draft round,36.7,4,0,22.1,
1359546418284494848,8,False,12519,Luther Burden,WR,CHI,4,draft round,46.7,4,0,21.3,
1359546418284494848,8,False,12591,Xavier Watts,DB,ATL,16,draft round,,,,21.2,14.11
1359546418284494848,6,False,2133,Davante Adams,WR,LAR,5,draft round,50.83,5,0,20.9,
1359546418284494848,8,False,4983,DJ Moore,WR,BUF,5,draft round,52.35,5,0,20.8,
1359546418284494848,3,False,11624,Xavier Worthy,WR,KC,12,draft round,129.83,11,1,20.6,
1359546418284494848,9,False,2216,Mike Evans,WR,SF,5,draft round,59.7,5,0,20.2,
1359546418284494848,5,False,12474,Woody Marks,RB,HOU,13,draft round,135.81,12,1,20.1,
1359546418284494848,5,False,8280,Nik Bonitto,LB,DEN,10,draft round,98.17,9,1,19.8,9.23
1359546418284494848,1,True,10219,Chris Rodriguez,RB,JAX,13,draft round,141.1,12,1,19.7,
1359546418284494848,1,True,13279,Carnell Tate,WR,TEN,6,draft round,68.19,6,0,19.5,
1359546418284494848,3,False,8676,Rashid Shaheed,WR,SEA,14,draft round,146.98,13,1,19.2,
1359546418284494848,8,False,7611,Rhamondre Stevenson,RB,NE,7,draft round,74.02,7,0,19.1,
1359546418284494848,2,False,12506,Harold Fannin,TE,CLE,7,draft round,76.23,7,0,18.9,
1359546418284494848,9,False,3294,Dak Prescott,QB,DAL,7,draft round,77.92,7,0,18.8,
1359546418284494848,7,False,5846,DK Metcalf,WR,PIT,7,draft round,79.37,7,0,18.7,
1359546418284494848,11,False,9753,Zach Charbonnet,RB,SEA,15,draft round,156.22,14,1,18.5,
