player_id,full_name,position,nfl_team,active,status,injury_status,practice_participation,depth_chart_position,depth_chart_order,league_1389740418316374016,league_1370453762442797056,league_1370218620990263296,league_1366076769534251008,league_1359546418284494848,free_agent_leagues,rostered_leagues,my_leagues,my_start_leagues,opponent_leagues,multi_league_free_agent,rostered_somewhere_free_somewhere
8131,Isaiah Likely,TE,NYG,True,Active,,,TE,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
7553,Kyle Pitts,TE,ATL,True,Active,,,TE,1,OPP,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,1,False,False
5012,Mark Andrews,TE,BAL,True,Active,,,TE,1,OWNED,OWNED,OPP,OWNED,PREDRAFT,0,4,0,0,1,False,False
10859,Sam LaPorta,TE,DET,True,Active,Questionable,,TE,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
1466,Travis Kelce,TE,KC,True,Active,,,TE,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
8130,Trey McBride,TE,ARI,True,Active,,,TE,1,OWNED,OWNED,OPP,OWNED,PREDRAFT,0,4,0,0,1,False,False
12518,Tyler Warren,TE,IND,True,Active,Questionable,,TE,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
5859,A.J. Brown,WR,NE,True,Active,,,LWR,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
11631,Brian Thomas,WR,JAX,True,Active,,,LWR,2,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
13279,Carnell Tate,WR,TEN,True,Active,Questionable,,LWR,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
6786,CeeDee Lamb,WR,DAL,True,Active,,,LWR,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
4037,Chris Godwin,WR,TB,True,Active,,,SWR,2,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
8144,Chris Olave,WR,NO,True,Active,,,LWR,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
8167,Christian Watson,WR,GB,True,Active,,,LWR,1,OPP,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,1,False,False
4983,DJ Moore,WR,BUF,True,Active,,,LWR,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
5846,DK Metcalf,WR,PIT,True,Active,Questionable,,LWR,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
2133,Davante Adams,WR,LAR,True,Active,,,RWR,2,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
7525,DeVonta Smith,WR,PHI,True,Active,,,LWR,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
